Xbox Game Title	Title ID (Hex)	Title	XDK version
Mace Griffin: Bounty Hunter	56550018	Mace Griffin Bounty Hunter	5344
Mad Dash Racing	45530001	Mad Dash Racing	3925
Madagascar	4156003B	Madagascar	5849
Madden 2002 	45410001	Madden NFL 2002	3925
Madden NFL 06	45410075	Madden NFL 06	5849
Madden NFL 07	4541009F	Madden NFL 07	5849
Madden NFL 08	454100AC	Madden NFL 08	5849
Madden NFL 09	4541023B	Madden NFL 09	5849
Madden NFL 2003	45410019	Madden NFL 2003	4432
Madden NFL 2004	45410036	Madden NFL 2004	5455
Madden NFL 2005	4541004D	Madden NFL 2005	5849
Mafia	54540009	Mafia	5849
Magatama	4D530066	magatama	5455
Magi Death Fight	544B0001	マジデスファイト！	4361
Magic: The Gathering - Battlegrounds	49470072	Magic: The Gathering - Battlegrounds	5659
Major League Baseball 2K5	53450037	ESPN Major League Baseball 2K5	5849
Major League Baseball 2K5: World Series Edition	54540096	Major League Baseball 2K5: WSE	5849
Major League Baseball 2K6	54540092	MLB 2K6	5849
Major League Baseball 2K7	545400B1	MLB 2K7	5849
Malice	4253000A	Malice	5849
Manhunt	54540019	Manhunt	5849
Marc Ecko's Getting Up: Contents Under Pressure	4947007D	Getting Up: Contents Under Pressure	5849
Marvel Nemesis: Rise of the Imperfects	4541038A	Imperfects	5849
Marvel vs. Capcom 2	43430007	MARVEL VS. CAPCOM2	5028
Marvel: Ultimate Alliance	4156005C	Ultimate Alliance	5849
Mashed - Drive to Survive	454D000A	Mashed	5849
Mashed - Fully Loaded	454D001B	Mashed Fully Loaded	5849
Mat Hoffman’s Pro BMX™ 2	4156000B	Mat Hoffman's Pro BMX 2	4721
Max Payne	54540003	Max Payne	3925
Max Payne 2: The Fall of Max Payne	5454000C	Max Payne 2	5558
Maximum Chase	4D53002E	MAXIMUM CHASE	5558
MechAssault	4D530017	MechAssault	4831
MechAssault 2: Lone Wolf	4D53006B	MechAssault2	5849
Medal of Honor European Assault	4541005E	MOH European Assault	5849
Medal of Honor: Frontline	4541001A	Medal Of Honor Frontline	4928
Medal of Honor: Rising Sun	4541003F	Medal of Honor: Rising Sun	5455
Mega Man Anniversary Collection	43430011	Megaman Anniversary Collection	5849
Melbourne Cup Challenge	48450004	Melbourne Cup Challenge	5849
Memorick - The Apprentice Knight	4D490004	Memorick	5659
Men of Valor	56550019	Men Of Valor	5849
Mercedes-Benz World Racing	544D0005	World Racing	5120
Mercenaries	4C410015	Mercenaries	5849
Metal Arms: Glitch in the System	5655000A	Metal Arms	5558
Metal Dungeon	58490001	MetalDungeon	4928
Metal Gear Solid 2: Substance	4B4E0007	MGS2 SUBSTANCE	4721
Metal Slug 3	534E0002	metal slug 3	5849
Metal Slug 4	534E0005	MetalSlug4	5849
Metal Slug 4 & 5 Bundle Pack			
Metal Wolf Chaos	46530006	Metal Wolf Chaos	5849
Miami Vice	44580001	MiamiVice	5849
Micro Machines	4947001C	Micro Machines	4928
Midnight Club 3: DUB Edition	54540079	DUB edition	5849
Midnight Club 3: DUB Edition Remix	54540079	DUB edition	5849
Midnight Club II	54540008	Midnight Club 2	5344
Midtown Madness 3	4D53002A	Midtown Madness 3	5233
Midway Arcade Treasures	4D57001C	Midway Arcade Treasures	5659
Midway Arcade Treasures 2	4D570020	Midway Arcade Treasures 2	5849
Midway Arcade Treasures 3	4D57002D	Midway Arcade Treasures 3	5849
Mike Tyson Heavyweight Boxing	434D0003	Mike Tyson Heavyweight Boxing	4361
Minority Report	41560014	Minority Report	4831
Mission Impossible: Operation Surma	4947001F	M:I - OP SURMA	5558
MLB SlugFest 20-03	4D570008	Slugfest	4627
MLB SlugFest 20-04	4D570009	Slugfest2004	5233
MLB SlugFest 2006	4D570038	Slugfest 2006	5849
MLB SlugFest: Loaded	4D57001D	SlugfestLoaded	5849
Mojo!	43560005	Mojo!	5558
Monopoly Party	4947000F	Monopoly Party	4831
Monster 4x4 World Circuit	55530049	Monster 4x4: World Circuit	5849
Monster Garage	41560041	Monster Garage	5849
Morrowind Game of the Year (GotY) Edition	42530005	Morrowind Game of the Year	5659
Mortal Kombat 7: Armageddon	4D570034	Mortal Kombat 7	5849
Mortal Kombat Deception Kollectors Edition	4D570019	Mortal Kombat Deception Kollector’ Edit	5849
Mortal Kombat: Deadly Alliance	4D57000C	MK Deadly Alliance	4721
Mortal Kombat: Deception	4D570019	Mortal Kombat  Deception	5849
Mortal Kombat: Shaolin Monks	4D570029	MK Shaolin Monks	5849
Motocross Mania 3	54540015	Motocross Mania 3	5849
MotoGP	54510008	MotoGP	4361
MotoGP 2	54510016	MotoGP 2	5233
MotoGP 3	54510088	MotoGP 3	5849
MTV Music Generator 3: This is the Remix!	434D0029	Music Generator 3 - This is the Rem	5849
MTV's Celebrity Deathmatch	5454000B	Celebrity Deathmatch	5233
MTX Mototrax	41560022	MTX Mototrax	5659
Murakumo (NTSC)	55530016	MURAKUMO	5028
Murakumo (NTSC-J)	46530001	-MURAKUMO-	4531
Muzzle Flash	56430001	Muzzle Flash	5120
MVP 06 NCAA Baseball	4541008D	MVP 06 NCAA Baseball	5849
MVP Baseball 2003	4541002D	MVP Baseball 2003	5120
MVP Baseball 2004	45410045	MVP Baseball 2004	5659
MVP Baseball 2005	45410056	MVP Baseball 2005	5849
MX 2002 (NTSC)	54510003	MX 2002 with Ricky Carmichael	3925
MX 2002 (PAL)	54510003	MX 2002 with Ricky Carmichael	3948
MX Superfly	54510010	MX Superfly featuring Ricky Carmichael	4928
MX Unleashed	54510021	MX Unleashed	5558
MX vs. ATV Unleashed	545100ED	MX vs ATV Unleashed	5849
MX World Tour: Featuring Jamie Little	4356000E	MX World Tour	5849
Myst III - Exile (NTSC-J)	4D500001	Myst III Exile	4361
Myst III: Exile (NTSC)	55530011	Myst III Exile	4627
Myst IV Revelation	5553004A	Myst IV Revelation	5849
N.U.D.E.@ - Natural Ultimate Digital Experiment	4D53003C	N.U.D.E.@	5120
Nakashima Tetsunari no Othello Seminar	53550002	中島哲也のｵｾﾛｾﾐﾅｰ	4361
Namco Museum	4E4D0007	NamcoMuseum	4831
Namco Museum 50th Anniversary Arcade Collection	4E4D0016	Namco Museum 50th Anniversary	5849
NARC	4D570024	Narc	5849
NASCAR 06: Total Team Control	4541008B	NASCAR 06	5849
NASCAR 07	454100A3	NASCAR 07	5849
NASCAR 2005: Chase for the Cup	45410053	NASCAR 2005	5849
NASCAR Thunder 2002	45410002	Nascar Thunder 2002	3925
NASCAR Thunder 2003	4541001B	NASCAR Thunder	4627
NASCAR Thunder 2004	45410031	NASCAR Thunder™	5455
NBA 2K2	53450002	NBA2K2	4039
NBA 2K3	53450013	NBA2K3	4831
NBA 2K6	54540090	NBA 2K6	5849
NBA 2K7	545400AE	NBA 2K7	5849
NBA Ballers	4D570010	NBA Ballers	5659
NBA Ballers: Phenom	4D57002E	NBA Ballers: Phenom	5849
NBA Inside Drive 2002	4D530011	NBA Inside Drive 2002	3948
NBA Inside Drive 2004	4D53000B	NBA Inside Drive 2004	5558
NBA Jam 2004	41430013	NBA Jam 2004	5659
NBA Live 06	4541007A	NBA LIVE 06	5849
NBA LIVE 07	454100A1	NBA LIVE 07	5849
NBA Live 2002	45410003	NBA Live 2002	3925
NBA Live 2003	4541001C	NBA Live 2003	4721
NBA Live 2004	45410038	NBA LIVE 2004	5455
NBA Live 2005	45410050	NBA LIVE 2005	5849
NBA Street V3	45410058	NBA STREET V3	5849
NBA Street Vol 2	45410027	NBA STREET Vol. 2	5233
NCAA College Basketball 2K3	53450018	NCAA CB 2K3	5028
NCAA Football 06	45410080	NCAA Football 06	5849
NCAA Football 07	454100A2	NCAA Football 07	5849
NCAA Football 08	454100AB	NCAA® Football 08	5849
NCAA Football 2003	4541001D	NCAA Football 2003	4432
NCAA Football 2004	45410035	NCAA Football 2004	5455
NCAA Football 2005	45410051	NCAA Football 2005	5849
NCAA Football 2K3	53450010	NCAA2K3	4721
NCAA March Madness 06	45410090	NCAA MARCH MADNESS 06	5849
NCAA March Madness 2004	45410044	NCAA March Madness 2004	5455
NCAA March Madness 2005	45410052	MARCH MADNESS 2005	5849
Need for Speed Carbon	4541009E	NFS_Carbon	5849
Need for Speed Most Wanted	4541007B	N/A	5849
Need for Speed Underground	45410047	NFS:Underground	5558
Need for Speed Underground 2	4541005A	NFS Underground 2	5849
Need For Speed: Hot Pursuit 2	45410028	NFS Hot Pursuit 2	4721
Neighbours From Hell	4A570002	Neighbours from Hell	5849
New Legends	54510001	New Legends	4039
Nezmix 	4D530023	ねずみくす	3948
NFL 2K2	53450006	NFL2K2	4039
NFL Blitz 2002	4D570001	NFL Blitz 20-02	4242
NFL Blitz 2003	4D57000A	NFL Blitz 20-03	4627
NFL Blitz Pro	4D570014	NFL Blitz Pro	5659
NFL Blitz: The League	4D570026	Blitz: The League	5849
NFL Fever 2002	4D530006	NFLFever	3925
NFL Fever 2003	4D530028	NFL Fever 2003	4721
NFL Fever 2004	4D53004D	NFL Fever 2004	5558
NFL Head Coach	4541008E	NFL Head Coach	5849
NFL Street	45410048	NFL STREET	5659
NFL Street 2	45410057	NFL STREET 2	5849
NHL 06	4541007C	NHL06	5849
NHL 07	454100A5	NHL 07	5849
NHL 2002	45410005	NHL 2002	3948
NHL 2003	4541001E	NHL 2003	4721
NHL 2004	45410030	NHL 2004	5558
NHL 2005	4541004F	NHL 2005	5849
NHL 2K3	53450017	NHL2K3	4831
NHL 2K6	5454008D	NHL 2K6	5849
NHL 2K7	545400AD	NHL 2K7	5849
NHL Hitz 2002 (NTSC)	4D570003	NHL Hitz 2002	3925
NHL Hitz 2002 (PAL)	4D570003	NHL Hitz 2002	4134
NHL Hitz 2003	4D57000B	NHL Hitz 2003	4531
NHL Hitz Pro	4D57001A	NHL Hitz Pro	5558
NHL Rivals 2004	4D53004E	NHL Rivals 2004	5558
Nickelodeon Party Blast	49470028	Nickelodeon Party Blast	4721
Nightcaster	4D530008	Nightcaster	4039
Nightcaster II: Equinox	4A410002	NightCaster2	4928
Ninja Gaiden	54430003	NINJA GAIDEN	5659
Ninja Gaiden BLACK	5443000D	NINJA GAIDEN Black	5849
Nobunaga Mahjong	45460001	SincyouMj	5233
Nobunaga no Yabou Ranseiki	4B4F0001	Nobu9Xbox	4039
Obscure	4D490009	Obscure	5849
Oddworld: Munch's Oddysee	4D530001	Oddworld: Munch's Oddysee	3925
Oddworld: Stranger's Wrath	4541006D	Stranger's Wrath	5849
Open Season	55530061	Open Season	5849
Operation Flashpoint: Elite	434D005A	Operation Flashpoint: Elite	5849
Otogi	46530002	OTOGI	5120
Otogi 2: Immortal Warriors	46530004	OTOGI2	5849
OTOGI -Hyakki Toubatsu Emaki-	46530004	OTOGI -Hyakki Toubatsu Emaki-	5659
Otogi: Myth of Demons	46530002	OTOGI	5455
Outlaw Golf	56550010	OUTLAW GOLF	4134
Outlaw Golf 2	54540017	Outlaw Golf 2	5849
Outlaw Tennis	54540076	Outlaw Tennis	5849
Outlaw Volleyball	53530003	Outlaw Volleyball	5455
Outlaw Volleyball: Red Hot	53538003	Outlaw Volleyball	5455
OutRun 2006: Coast to Coast	53450088	Coast 2 Coast	5849
OutRun2 (NTSC)	53450036	OutRun2	5849
OutRun2 (NTSC-J)	53450036	OutRun2	5849
Over The Hedge	41560058	OutRun2	5849
Pac-Man World 2	4E4D0006	Pac-Man World 2	4432
Pac-Man World 3	4E4D0017	Pac-Man World™ 3	5849
Painkiller: Hell Wars	44430003	Painkiller	5849
Panzer Dragoon Orta	53450007	Panzer Dragoon ORTA	4928
Panzer Elite Action	4A570009	Panzer Elite Action	5849
Pariah	47560001	Pariah	5849
Peter Jackson's King Kong	5553004C	Peter Jackson's King Kong official Game 	5849
Petit Copter	41510001	PetitCopter	4361
Phantasy Star Online Episode I & II	4D53004A	PSO	4831
Phantom Crash	504C0001	phantomcrash	4721
Phantom Dust	4D530046	PhantomDust	5849
Pilot Down: Behind Enemy Lines	4F580002	Pilot Down	5849
Pinball Hall of Fame	4356000A	Pinball Hall of Fame	5849
Pirates of the Caribbean	42530004	Pirates of the Caribbean	5455
Pirates: Legend of Black Kat	45410015	Pirates: The Legend of Black Kat	4134
Pitfall: The Lost Expedition	41560018	Pitfall: The Lost Expedition	5659
Playboy: The Mansion	41480002	Playboy the Mansion	5849
Plus Plumb 2	544B0004	Plus Plumb 2	5659
PocketBike Racer	4D5300D4	Pocketbike Racer	5849
Pool Shark 2	5A440001	PoolShark2	5849
Powerdrome	4253000B	Powerdrome	5659
Predator: Concrete Jungle	56550030	Predator	5849
Prince of Persia: Sands of Time	5553001D	Prince of Persia: The Sands of Time	5558
Prince of Persia: The Two Thrones	55530058	Prince of Persia: T2T	5849
Prince of Persia: Warrior Within	5553003B	Prince of Persia WW	5849
Prisoner of War	434D0008	Prisoner Of War	4432
Pro Beach Soccer (Ultimate Beach Soccer (PAL))	57450001	Pro Beach Soccer	5455
Pro Cast Sports Fishing	4343000B	PROCAST	5455
Pro Evolution Soccer 5	4B4E0030	ProEvolutionSoccer5	5849
Pro Fishing Challenge	41540003	ProFishingChallenge	5849
Pro Race Driver	434D0002	Race Driver	5233
Project Gotham - World Street Racer	4D530003	Project Gotham Racing	3948
Project Gotham Racing 2	4D53004B	Project Gotham Racing 2	5659
Project ZERO			4928
Project: Snowblind	45530019	Project: Snowblind	5849
ProStroke Golf: World Tour 2007	4F580004	ProStroke Golf	5849
Psi-Ops: The Mindgate Conspiracy	4D570016	PsiOps	5849
Psychonauts	4D4A0012	Psychonauts	5849
Psyvariar 2 Extended Edition	53550009	PSYVARIAR2 EXTEND EDITION	5849
Pulse Racer	4A410001	Pulse Racer	4928
Pump It Up: Exceed SE	41440002	PUMP IT UP: EXCEED	5849
Pure Pinball	54540011	Pure Pinbal	5849
Puyo Pop Fever	53450027	Puyo Pop Fever	5849
Quantum Redshift	4D530015	Quantum Redshift	4721
R: Racing Evolution	4E4D0008	R:RACING EVOLUTION	5558
RalliSport Challenge	4D53000F	RalliSport Challenge	4134
RalliSport Challenge 2	4D530039	RalliSport Challenge 2	5849
Rally Fusion:Race of Champions	41560009	Rally Fusion : Race Of Champions	4928
Rapala Pro Fishing	4156003A	Rapala Pro Fishing	5849
Ratatouille	54510109	Ratatouille	5849
Rayman 3 Hoodlum Havoc	55530002	Rayman 3	5233
Rayman Arena	55530003	Rayman Arena	4627
Raze’s Hell	4D4A0011	Raze's Hel	5849
Real World Golf	49410001	Real World Golf	5849
Red Card 2003	4D57000F	RedCard	4432
Red Dead Revolver	5454001A	Red Dead Revolver	5849
Red Faction II	54510005	Red Faction® II	5233
Red Ninja: End of Honor	56550027	End of Honor	5849
Reign of Fire	424D0002	Reign Of Fire	4928
Rent A Hero No. 1	5345001D	RENT A HERO No.1	5344
Reservoir Dogs	534300FF	Reservoir Dogs	5849
Return to Castle Wolfenstein: Tides of War	41560010	Wolfenstein	5344
Richard Burns Rally	53430005	Richard Burns Rally	5849
Ricky Ponting International Cricket 2005	434D0057	RPIC 2005	5849
RoadKill	4D570018	RoadKill	5849
Robin Hood: Defender of the Crown	4343000C	Robin Hood:DotC	5558
Robocop	54530005	Robocop	5120
Robotech: Battlecry	544D0002	Robotech: Battlecry	4721
Robotech: Invasion	5454001B	Robotech Invasion	5849
Robots	56550037	Robots	5849
Rocky	55530014	Rocky	4721
Rocky Legends	55530034	Rocky Legends	5849
Rogue Ops	4B420004	Rogue Ops	5558
Rogue Trooper	5343000E	Rogue Trooper	5849
RollerCoaster Tycoon	4947002E	Rollercoaster Tycoon	5233
Rolling	53430007	Rolling	5558
Room Zoom - Race for Impact	4A410006	Room Zoom - Race for Impact	5849
Rugby 06	45410087	EA SPORTS™ RUGBY 06	5849
Rugby 2005	45410061	EA SPORTS™ RUGBY 2005	5849
Rugby Challenge 2006	48500005	Rugby Challenge '06	5849
Rugby League	48450001	Rugby League	5558
Rugby League 2	48450005	Rugby League 2	5849
Run Like Hell	49500006	Run Like Hell	5233
Samurai Shodown V	534E0004	Samurai ShoDown V	5849
Samurai Warriors	4B4F0006	SamuraiWarriors	5849
Scaler	5454007A	Scaler	5849
SCAR - Squadra Corse Alfa Romeo	4C530002	SCAR	5849
Scarface: The World is Yours	5655003F	Scarface	5849
Scooby-Doo! Mystery Mayhem	5451000E	Scooby-Doo!™ Mystery Mayhem	5344
Scooby-Doo! Night of a 100 Frights	5451001F	Scooby-Doo!: Night of 100 Frights	5558
Scooby-Doo! Unmasked	545100F7	Scooby-Doo!™ Unmasked	5849
Scrapland	454C0001	Scrapland	5849
Sea World: Shamu's Deep Sea Adventures	41560050	Shamu's Deep Sea Adventures	5849
SeaBlade	56550017	Seablade	4831
Second Sight	434D0047	Second Sight	5849
Secret Weapons Over Normandy	4C410006	Secret Weapons Over Normandy	5659
Sega GT 2002	53450003	segaGT 2002	4627
Sega GT Online	53450021	segaGTOnline	5659
Sega Soccer Slam	53450014	Sega Soccer Slam	4432
Sengoku Musou	4B4F0005	戦国無双	5849
Sensible Soccer 2006	434D005B	Sensible Soccer	5849
Sentou Yousei Yukikaze	41510003	Yukikaze	5233
Serious Sam	54540004	Serious Sam	4928
Serious Sam II	5454000D	Serious Sam 2	5849
Shadow of Memories	4B4E000E	Shadow Of Memories	4627
Shadow Ops: Red Mercury	49470025	SO:RM	5788
Shadow The Hedgehog	53450086	Shadow The Hedgehog	5849
Shark Tale	41560038	Shark Tale	5849
Shattered Union	54540083	Shattered Union	5849
ShellShock: Nam '67	45530013	Shellshock NAM'67	5849
Shenmue 2	4D530032	Shenmue II	4721
Shikigami no Shiro	4D500002	式神の城	3948
Shikigami no Shiro Evolution	4B490001	ShikigaminoShiroEvolution	5028
Shikigami no Shiro II	4B490002	ShikigaminoShiro2	5849
Shin Megami Tensei Nine	41540002	DDS9	4928
Shin Sangoku Musou 4	4B4F0007	真・三國無双４	5849
Showdown: Legends of Wrestling	4143001D	SHOWDOWN: LEGENDS OF WRESTLING	5849
Shrek	544D0001	Shrek	3925
Shrek 2	41560037	Shrek 2	5788
Shrek SuperSlam	41560038	Shark Tale	5849
Shrek: Super Party	544D0004	Shrek Super Party	4831
Sid Meier's Pirates!	5454008F	Sid Meier's Pirates! ™	5849
Silent Hill 2 - Inner Fears (PAL)	4B4E0004	SILENT HILL 2	4531
Silent Hill 2: Restless Dreams	4B4E0004	SILENT HILL 2	3925
Silent Hill 4: The Room	4B4E001F	Silent Hill 4	5849
Silent Scope Complete	4B4E001A	Silent Scope Complete	5558
Ski Racing 2006	4A57000A	Ski Racing 2006	5849
Slam tennis	49470011	Slam Tennis	4242
Smashing Drive	4E4D0001	Smashing Drive	4242
Sneak King	4D5300D3	Sneak King	5849
Sneakers	4D530023	Sneakers	4531
Sniper Elite	4D49000D	Sniper Elite	5849
SNK vs. Capcom; SVC Chaos	534E0001	SNK VS. CAPCOM SVC CHAOS	5849
Soldier of Fortune II: Double Helix	4156001B	Soldier of Fortune II	5344
Sonic Heroes	5345002B	SONICHEROES	5659
Sonic Mega Collection Plus	5345003C	SONIC MEGACOLLECTION PLUS	5849
Sonic Riders	53450087	SONIC RIDERS	5849
Soul Calibur II (J)	4E4D0003	SOULCALIBUR2	5344
Soul Calibur II (NTSC)	4E4D0003	SOULCALIBUR2	5455
Spartan: Total Warrior	5345008B	Total Warrior	5849
Spawn: Armageddon	4E4D000C	Spawn: Armageddon	5455
Spawn: Armageddon (PAL)	4E4D000C	Spawn®: Armageddon	5659
Special Forces: Nemesis Strike			5849
Speed Kings	4143000B	Speed Kings	5344
Sphinx and the Cursed Mummy	54510023	Sphinx	5558
Spider-Man	4343000A	Spider-Man	4928
Spider-Man 2	4156002B	Spider-Man 2	5849
Spider-Man: The Movie Game	41560006	Spider-Man	4134
Spikeout: Battle Street	53450029	SPIKEOUT Battle Street	5849
Splashdown	4947001B	Splashdown	4531
Splat Renegade Paintball	54540093	Renegade Paintball	5849
SpongeBob SquarePants: Battle for Bikini Bottom	5451001A	SpongeBob SquarePants	5558
SpongeBob SquarePants: Lights, Camera, PANTS!	545100FA	Bob L'éponge : Silence on tourne!	5849
SpongeBob Squarepants: The Movie	54510027	The SpongeBob SquarePants Movie	5849
Spy Hunter	4D570004	Spy Hunter	4134
Spy Vs. Spy	54540084	Spy vs. Spy	5849
SpyHunter 2	4D57001B	SpyHunter 2	5659
SpyHunter: Nowhere to Run	4D570037	Spy Hunter: NTR	5849
Spyro: A Hero’s Tail	56550034	Spyro A Hero's Tail	5849
SSX 3	4541003C	SSX 3	5558
SSX On Tour	45410082	SSX™ On Tour	5849
SSX Tricky	45410004	SSX Tricky	3925
STACKED with Daniel Negreanu	4D4D0001	STACKED	5849
Stake: Fortune Fighters	4D440004	N/A	5344
Star Trek: Shattered Universe	544D0010	Star Trek: Shattered Universe	5558
Star Wars Battlefront II	4C41001A	Star Wars Battlefront 2	5849
Star Wars Jedi Academy 	4C41000B	Jedi Knight: Jedi Academy	5558
Star Wars Jedi Knight II	4C410009	Jedi Knight II	4721
Star Wars Jedi Starfighter	4C410005	Star Wars Jedi Starfighter	4361
Star Wars Starfighter: SE	4C410002	Starfighter SE	3948
Star Wars: Battlefront	4C410011	BattleFront	5849
Star Wars: Episode III Revenge of the Sith	4C410017	Star Wars: Episode III	5849
Star Wars: Knights of the Old Republic	4C410003	Star Wars: KotOR	5455
Star Wars: Knights of the Old Republic II	4C410014	KotOR II	5849
Star Wars: Obi-Wan	4C410001	Star Wars Obi-Wan	3948
Star Wars: Republic Commando	4C410013	Star Wars Republic Commando	5849
Star Wars: The Clone Wars	4C410004	SW: The Clone Wars	5233
Starsky & Hutch	454D0005	Starsky & Hutch	5344
State of Emergency	54540006	State of Emergency	5120
Steel Battalion	43430002	STEEL BATTALION	4627
Steel Battalion: Line of Contact	43430009	STEEL BATTALION : Line of Contact	5788
Stepmania X			5558
Still Life	4D49000B	StillLife	5849
Stolen	48500001	Stolen	5849
Street Fighter Anniversary Collection	4343000F	Street Fighter Anniversary Collection	5849
Street Hoops	41560003	Street Hoops	4721
Street Racing Syndicate	4E4D0013	Street Racing Syndicate	5849
Strike Force Bowling	43560008	Strike Force Bowling	5849
Stubbs the Zombie in Rebel without a Pulse	41590002	Stubbs the Zombie	5849
Sudeki	4D53000A	Sudeki	5849
Super Bubble Pop (PAL)	4A410004	Super Bubble Pop	5120
Super Monkey Ball Deluxe	53450038	SuperMonkeyBallDX	5849
Superman Returns	454100A0	Superman Returns: The Videogame	5849
Superman: The Man of Steel	49470016	Superman: The Man of Steel	4831
SWAT: Global Strike Team	56560025	SWAT:GST	5558
SX Superstar	41430010	SX Superstar	5233
Syberia	4D490006	Syberia	5344
Syberia II	4D490008	Syberia 2	5659
Taito Legends	454D001C	Taito Legends	5849
Taito Legends 2	454D0022	Taito Legends 2	5849
Tak 2: The Staff of Dreams	5451008B	Tak 2  The Staff Of Dreams	5849
Tak: The Great Juju Challenge	545100F4	Tak: The Great Juju Challenge	5849
Takahashi Junko no Mahjong Seminar	53550005	JunkoMj	4361
Tao Feng: Fist of the Lotus	4D530014	Tao Feng	5233
Taz: Wanted	4947000D	Taz: Wanted	4432
TD Overdrive	49470007	TD Overdrive	4361
Tecmo Classic Arcade	5443000E	TECMO CLASSIC ARCADE	5849
Teen Titans	4D4A0013	Teen Titans	5849
Teenage Mutant Ninja Turtles	4B4E001B	TMNT	5558
Teenage Mutant Ninja Turtles 2: Battlenexus	4B4E0023	TMNT(TM)2	5849
Teenage Mutant Ninja Turtles 3: Mutant Nightmare	4B4E002A	TMNT(R)3	5849
Teenage Mutant Ninja Turtles; Mutant Melee	4B4E0020	MNT(TM) Mutant Melee(TM)	5849
Tenchu 3 - Kaiki no Shou	46530005	天誅 参　～回帰ノ章～	5849
Tenchu: Return From Darkness	41560026	Tenchu: Return From Darkness	5849
Tenerezza	41500001	Tenerezza	5028
Tenku - Freestyle Snowboarding	4D53002F	Tenku	3948
Tennis Masters Series 2003	4D490003	TMS 2003	4531
Terminator 3: Rise of the Machines	4947003B	Terminator 3 - ROTM	5558
Terminator 3: The Redemption	4947003E	Terminator 3: The Redemption	5849
Terminator: Dawn of Fate	49470026	The Terminator: Dawn of Fate	4721
Test Drive	49470007	Test Drive	4361
Test Drive: Eve of Destruction	49470075	Test Drive: EOD	5849
Test Drive: Off Road	49470001	Test Drive Off-Road: Wide Open	3925
Tetris Worlds	5451000A	Tetris Worlds	4361
Tetris Worlds (J)	53550006	Tetris Worlds	4831
Tetris Worlds Online	5451001C	Tetris Worlds Live	5233
The Bard's Tale	49580001	The Bard's Tale	5849
The Bible Game	43560011	The Bible Game	5849
The Chronicles of Narnia: The Lion, The Witch and The Wardrobe	42560003	The Chronicles of Narnia: The Lion, the 	5849
The Chronicles of Riddick: Escape from Butcher Bay	56550026	Riddick	5849
The Da Vinci Code	545400AB	The Da Vinci Code	5849
The Dukes of Hazzard: Return of the General Lee	5553003A	Dukes of Hazzard	5849
The Godfather	4541007D	The Godfather™	5849
The Great Escape	53430003	The Great Escape	5344
The Guy Game	5454007B	The Guy Game	5849
The Haunted Mansion	544D000D	Haunted Mansion	5455
The Hobbit	56550023	The Hobbit	5558
The Hulk	56550011	The Hulk	5344
The Hustle: Detroit Streets	4156005B	The Hustle	5849
The Incredible Hulk: Ultimate Destruction	56550039	The Incredible Hulk:Ultimate Destruction	5849
The Incredibles	54510028	N/A	5849
The Incredibles: Rise of the Underminer	545100F6	The Incredibles: Rise of the Underminer	5849
The Italian Job	4553000E	The Italian Job	5344
The King of Fighters Neowave	534E000A	THE KING OF FIGHTERS NEOWAVE	5849
The Legend of Spyro: A New Beginning	5655004A	TLoS: A New Beginning	5849
The Lord of the Rings - The Two Towers (PAL)	45410010	The Two Towers(tm)	5120
The Matrix: Path of Neo	4947007C	The Matrix: PON	5849
The Punisher	54510018	The Punisher	5849
The Red Star	41430022	The Red Star	5849
The Simpsons Hit & Run (NTSC)	56550015	The Simpsons Hit & Run	5455
The Simpsons Hit & Run (PAL)	56550015	The Simpsons Hit & Run - PAL Release	5558
The Simpsons Road Rage (NTSC)	45410013	The Simpsons Road Rage	4034
The Simpsons Road Rage (PAL)	45410013	The Simpsons Road Rage	4039
The Sims	4541002F	The Sims™	5233
The Sims 2	4541038B	The Sims 2	5849
The Sims: Bustin' Out	45410043	N/A	5558
The Suffering	4D570015	The Suffering	5788
The Suffering: Ties That Bind	4D57002C	The Suffering: Ties That Bind	5849
The Thing	5655000D	The Thing	4627
The URBZ: Sims in the City	45410060	The Urbz - Sims in the City	5849
The Warriors	5454009B	The Warriors	5849
The Wild Rings	4D530048	THE WILD RINGS	4928
Thief: Deadly Shadows	45530004	Deadly Shadows	5849
ThousandLand	46530003	ThousandLand	5233
Thrillville	4C410022	Thrillville	5849
Tiger Woods PGA Tour 06	4541007E	Tiger Woods PGA TOUR® 06	5849
Tiger Woods PGA TOUR 07	454100A4	Tiger Woods PGA TOUR® 07	5849
Tiger Woods PGA Tour 2003	45410021	Tiger Woods PGA TOUR 2003	4721
Tiger Woods PGA Tour 2004	4541003A	Tiger Woods PGA TOUR 2004	5558
Tiger Woods PGA Tour 2005	45410054	Tiger Woods PGA TOUR® 2005	5849
Tim Burton’s The Nightmare Before Christmas: Oogie’s Revenge	42560004	Tim Burton's The Nightmare Before Christ	5849
TimeSplitters 2	4553000A	TimeSplitters 2	4721
TimeSplitters Future Perfect	45410066	TimeSplitters FP	5849
ToCA Race Driver 2: The Ultimate Racing Simulator	434D0011	Race Driver 2	5849
ToCA Race Driver 3	434D0050	Race Driver 3	5849
ToeJam & Earl III	5345000F	ToeJam & Earl III	4928
Tom and Jerry: War of the Whiskers	4E4B0001	Tom and Jerry	5558
Tom Clancy's Ghost Recon	55530006	Ghost Recon	4928
