Xbox Game Title	Title ID (Hex)	Title	XDK version
Batman: Rise of Sin Tzu	5553001C	Batman: Rise of Sin Tzu	5558
Batman: Vengeance	55530001	BATMAN VENGEANCE	3948
Battle Engine Aquila	49470010	Battle Engine Aquila	4627
Battlefield 2: Modern Combat	45410062	Modern Combat	5849
Battlestar Galactica	5655000F	Battlestar Galactica	5558
Beat Down: Fists of Vengeance	43430015	BeatDown - Fists of Vengeance	5849
Beyond Good & Evil	55530018	Beyond Good & Evil	5659
Bicycle Casino	41560040	Bicycle Casino	5849
Big Mutha Truckers	454D0002	Big Mutha Truckers	5233
Big Mutha Truckers 2	454D0017	Big Mutha Truckers 2	5849
Bionicle	45410039	BIONICLE®	5558
Bistro Cupid	53550001	BistroCupid	4242
Bistro Cupid 2	53550008	ビストロ・きゅーぴっと２	5455
BLACK	45410083	Black	5849
Blackstone: Magic and Steel	58490004	Black Stone	5028
Blade 2	41560005	Blade II	4627
Blazing Angels: Squadrons of WWII	55530057	Blazing Angels: SOWWII	5849
Blinx 2: Masters of Time & Space	4D530065	BLiNX2	5849
Blinx: The Time Sweeper	4D530013	BLiNX: the time sweeper	4831
Blood Omen 2	45530006	Blood Omen 2	4134
Blood Wake	4D530010	Blood Wake	3948
BloodRayne	4D4A0001	BloodRayne	4831
BloodRayne 2	4D4A000D	BloodRayne 2	5849
Bloody Roar Extreme	48550001	BLOODY ROAR extreme	5233
Blowout - Military Fighting Unit 	4D4A0008	Blowout	5659
BMX XXX	4143000E	BMX XXX	5028
Braveknight	494C0002	Braveknight	4627
Break Nine Billiards	41530001	BREAK NINE	4531
Breakdown	4E4D0009	BREAKDOWN	5659
Breeders' Cup World Thoroughbred Championships	42530012	Breeders' Cup World Thoroughbred Champio	5849
Brian Lara International Cricket	434D004E	BLIC 2005	5849
Broken Sword: The Sleeping Dragon	5451001D	Broken Sword - The Sleeping Dragon	5558
Brothers In Arms: Earned In Blood	5553005A	Earned In Blood	5849
Brothers in Arms: Road to Hill 30	5553003C	Brothers In Arms	5849
Bruce Lee: Quest of the Dragon	56560002	Bruce Lee: QOD	4432
Brute Force	4D53001E	Brute Force	5233
Buffy the Vampire Slayer	45410012	Buffy: The Vampire Slayer	4432
Buffy the Vampire Slayer: Chaos Bleeds	56550005	Buffy : Chaos Bleeds	5455
Burnout	41430006	Burnout	4361
Burnout 2: Point of Impact	41430019	Burnout 2	5344
Burnout 3: Takedown	4541005B	Burnout 3	5849
Burnout Revenge	45410076	Burnout Revenge	5849
